gyrox;gyroy;gyroz;promx;promy;promz;label
3.31128863;-0.250764393;1.210201886;-4.157171356;0.811263884;-2.777008466;mal
3.146961231;-0.247188408;1.236718857;-4.357925299;1.663544783;-5.039378361;mal
3.125212424;-0.170977537;1.25195147;-5.098335007;2.659105462;-7.060530448;mal
3.139740377;0.02158863;1.220704992;-6.489221582;3.362476721;-8.753302274;mal
3.113017637;0.276698724;1.080187687;-7.273092321;3.830752766;-9.931672181;mal
3.048053078;0.548446589;0.871897892;-7.47713377;4.437029896;-11.09893331;mal
2.91725624;0.87191381;0.707743317;-8.022940084;4.947924182;-12.89518659;mal
2.738719911;1.214709928;0.536306988;-8.724863024;5.342558752;-14.8301856;mal
2.644636606;1.474586578;0.34699157;-9.29609687;5.693093944;-16.17337451;mal
2.629003771;1.6289665;0.196522352;-9.631981775;6.017517309;-17.14977191;mal
2.625023295;1.725575874;0.16346345;-10.34594013;6.288994841;-17.94298794;mal
2.602317915;1.748873877;0.166694287;-11.13534223;6.546198306;-18.37236565;mal
2.567084859;1.75398447;0.216898502;-11.61819895;6.602655765;-18.85468538;mal
2.516982585;1.832796229;0.221770771;-11.60673544;6.996102391;-19.73131377;mal
2.485171547;1.932096339;0.1441802;-10.95930906;7.546850146;-20.76052978;mal
2.224389018;1.962962174;-0.008718525;-10.30779927;7.660090671;-21.60259918;mal
1.661793123;1.998245092;-0.222468608;-9.24065081;7.963124439;-22.19839963;mal
0.905141708;2.131246811;-0.46627066;-7.753566899;8.462958605;-22.48495858;mal
0.082973433;2.243601664;-0.695541265;-7.096530298;8.388650306;-23.08611449;mal
-0.82626944;2.328225957;-0.933303106;-7.336243268;7.941425826;-23.89592351;mal
-1.719693012;2.339846534;-1.249973322;-7.787411802;7.307906276;-24.50587723;mal
-2.399036273;2.234487965;-1.533835496;-7.204358695;7.281735097;-25.21456914;mal
-3.008089296;2.110644204;-1.750212701;-6.685569435;7.42719986;-26.00572297;mal
-3.620713755;2.01596467;-1.895469717;-6.57390394;7.503140481;-26.64171811;mal
-4.071129229;1.927631891;-1.905490349;-6.451204279;7.220751116;-26.791655;mal
-4.237332169;1.839558957;-1.859948308;-6.219885449;7.027549836;-26.83199863;mal
-4.225136106;1.707591681;-1.825084027;-5.867618332;7.151594096;-27.17887361;mal
-4.162989739;1.563661952;-1.76127787;-5.907049676;7.171562752;-27.51024175;mal
-4.130865336;1.387760677;-1.633172601;-6.128036327;7.431993463;-27.55181637;mal
-3.978226456;1.288906711;-1.424087576;-6.351250266;7.911867238;-27.36198664;mal
-3.831613921;1.212739268;-1.19551492;-7.763559387;8.142504994;-27.52530973;mal
-3.586293955;1.11317543;-1.070332945;-9.989942896;8.140752313;-28.06216032;mal
-3.112988353;1.0480269;-0.987936495;-10.51458462;8.117926538;-28.04221834;mal
-2.527549307;0.996912035;-0.910114587;-10.15540799;8.154558783;-28.06085262;mal
-1.904733444;0.841966001;-0.761685247;-10.44803723;8.104209306;-28.27082458;mal
-1.121598891;0.760415696;-0.514013311;-10.48139294;7.844992021;-28.37382465;mal
-0.225797393;0.828683749;-0.253973988;-9.878371033;7.959439958;-28.26983005;mal
0.418335275;0.753810871;-0.040489185;-9.737977092;7.786843579;-28.10404212;mal
0.917036439;0.6284467;0.207336994;-8.22943938;8.006335846;-27.51966692;mal
1.400051692;0.501506933;0.419854853;-6.603640465;8.37906347;-27.28210618;mal
2.003222407;0.67071015;0.611486134;-6.073452511;7.925379387;-27.34390547;mal
2.278074154;0.765788519;0.765819024;-4.625141973;7.756598118;-26.96957381;mal
2.183668608;0.689818358;0.778423738;-3.384414561;7.642398778;-26.53137807;mal
2.188350971;0.621886134;0.669638214;-3.049000137;7.179684652;-26.37088346;mal
2.389221575;0.755835885;0.49240477;-2.258978122;6.983695004;-26.31706107;mal
2.506384193;0.974302385;0.281119523;-1.355510025;7.021970558;-26.26333923;mal
2.314467332;1.105117027;0.030822851;-0.703181697;6.962447828;-26.35244912;mal
1.71516223;1.169342207;-0.267170826;-0.917095482;7.116390274;-26.38665788;mal
0.597906267;1.264248419;-0.547897781;-1.498854843;7.330414384;-25.95355783;mal
-0.712681808;1.288030671;-0.758148808;-1.954304876;7.753821889;-25.41306048;mal
-2.102134775;1.264636162;-1.041709373;-1.961667657;7.725337802;-25.36377892;mal
-3.609093677;1.131924182;-1.380167887;-0.751096467;7.297837737;-25.20104905;mal
-5.425670272;0.931707709;-1.744578758;0.15968878;7.253326274;-24.9008954;mal
-7.056184248;0.901933943;-2.053977981;-0.642775667;7.780068056;-24.93368409;mal
-8.058144149;0.961113533;-2.297118525;-0.763783239;8.039794924;-24.48010358;mal
-8.525848419;1.041039379;-2.462278536;-0.192545933;8.343976232;-23.83258464;mal
-8.833933555;1.109650083;-2.535647754;-0.011323626;8.499201832;-23.50204909;mal
-8.823015807;1.12362091;-2.514155574;-1.096665062;8.202863034;-23.21264202;mal
-8.399297338;1.02557005;-2.377296783;-1.839413176;7.802582537;-22.36995991;mal
-7.626504603;0.8894599;-2.201487965;-1.782842716;7.746255652;-21.90130384;mal
-6.547012535;0.888138547;-2.006535164;-1.777529344;7.806633826;-21.68390123;mal
-5.226327288;1.008813921;-1.776143428;-2.662049254;7.439410653;-21.31524656;mal
-3.837711314;1.075664171;-1.550334997;-3.644214479;7.22774323;-20.84133901;mal
-2.604975929;1.114987521;-1.257903716;-4.913210948;6.972652144;-20.40800049;mal
-1.648620688;1.092048863;-1.042615141;-5.916536842;6.744148485;-20.21480119;mal
-0.894566611;1.072014365;-0.891972601;-6.011748404;6.718232624;-20.09652501;mal
-0.093582363;1.070382252;-0.789299057;-5.076173965;6.648654391;-19.7839609;mal
0.688772601;1.11704548;-0.703149473;-4.160670702;6.454460672;-19.35080134;mal
1.15188081;1.104967443;-0.690625236;-3.548348396;6.387936636;-19.08603565;mal
1.23625452;1.065132612;-0.722401941;-2.984407523;6.470208909;-18.92625821;mal
1.055944981;1.047588686;-0.765188741;-2.818989099;6.342646024;-18.7343172;mal
0.657073821;0.936887243;-0.848797948;-2.819278866;6.082128952;-18.5289033;mal
-0.064130061;0.800396561;-1.025580976;-2.747621714;5.872878454;-18.266378;mal
-0.895980643;0.72625086;-1.258300776;-2.344753141;5.586849653;-17.8474857;mal
-1.751290294;0.723766667;-1.462210205;-1.813052835;5.359522688;-17.22189851;mal
-2.749236883;0.663052302;-1.652850915;-1.947899129;5.205159764;-16.72264684;mal
-3.728234276;0.587175541;-1.795861231;-1.946776929;5.066732604;-16.37990191;mal
-4.514359678;0.501330283;-1.893888242;-1.743423365;4.761553912;-16.1557731;mal
-5.144639157;0.426776761;-1.998252912;-1.831128712;4.29948916;-16.13787489;mal
-5.744513145;0.327046478;-2.069109928;-2.150622168;3.86757805;-15.87690284;mal
-6.176662618;0.224543705;-2.102927787;-2.49493493;3.961477717;-15.28024981;mal
-6.368193455;0.113572823;-2.12106112;-3.62983489;3.95479976;-14.97361787;mal
-6.375345813;-0.001590405;-2.121224626;-4.247427304;3.688553116;-14.54647101;mal
-6.222677926;-0.055851858;-2.025404437;-4.681394435;3.48977471;-14.16400318;mal
-6.00426406;-0.05761919;-1.936050416;-4.739773931;3.421210709;-13.63047944;mal
-5.598723184;-0.062464725;-1.808327732;-5.009837196;3.205148545;-13.38751766;mal
-5.000561453;0.016610704;-1.602679867;-5.407085231;3.214815324;-12.8893422;mal
-4.363465336;0.078147255;-1.337750971;-5.688988323;3.204858616;-12.51060985;mal
-3.694632335;0.16443228;-1.094164448;-5.738449661;3.155445731;-12.37642842;mal
-3.145560843;0.21528508;-0.858747976;-5.647311421;3.15185358;-12.2956848;mal
-2.675898336;0.227031836;-0.595906877;-5.5970975;3.282092896;-12.07160897;mal
-2.216214809;0.183117637;-0.448207432;-5.530063506;3.414470467;-11.81240241;mal
-1.760838325;0.123660843;-0.276632557;-5.569644521;3.423423051;-11.54295087;mal
-1.281422241;0.155616417;-0.039223627;-5.326188718;3.443643836;-11.3318208;mal
-0.871215807;0.213471215;0.137295008;-4.687929245;3.367153702;-10.99756511;mal
-0.441051525;0.236706767;0.261616861;-3.878918788;3.235515943;-10.59074774;mal
0.018407654;0.32148802;0.375857737;-2.435178441;3.299076485;-10.17008185;mal
0.365967831;0.378524404;0.500453411;-0.96947667;3.051736885;-9.903321921;mal
0.453459124;0.337318192;0.601993733;-0.533297951;2.574674895;-9.713849701;mal
0.552276872;0.250156572;0.68455807;-0.320973263;2.433168532;-9.610431713;mal
0.574532557;0.124579146;0.7812868;0.221466149;2.520938041;-9.38199861;mal
0.434763228;0.05889462;0.903657404;0.532059631;2.584613894;-9.161197874;mal
0.303581531;-0.013727676;0.916972546;0.680671559;2.52073618;-9.066019867;mal
0.195306877;-0.011068608;0.885627121;1.174323323;2.524814184;-8.837780131;mal
-0.000788686;0.014759013;0.790759956;1.855839202;2.539391819;-8.473215029;mal
-0.141554742;-0.024988075;0.668229451;2.154061239;2.312133824;-8.128851356;mal
-0.331367776;-0.07806711;0.562629673;2.194741323;2.139672311;-7.774789269;mal
-0.587934554;-0.102187188;0.383247643;2.141748144;2.022596844;-7.471102699;mal
-0.928882307;-0.164935718;0.278893622;2.164251394;1.873703847;-7.203478186;mal
-1.248628785;-0.270161509;0.243803771;2.414540633;1.708138319;-6.834232233;mal
-1.593860899;-0.321547532;0.235620466;2.625146393;1.639934338;-6.41858439;mal
-1.909216805;-0.386551303;0.259457016;2.03565336;1.654290586;-6.193342508;mal
-2.049065169;-0.460028564;0.309734886;1.698591041;1.614323956;-6.000956673;mal
-1.947273211;-0.490533666;0.341790904;1.565146148;1.526193921;-5.731465913;mal
-1.704792069;-0.501628564;0.38375391;1.255929983;1.258758065;-5.49707496;mal
-1.332391459;-0.476839823;0.370585691;0.961664979;1.114538317;-5.332613428;mal
-0.915250416;-0.468216972;0.388984581;0.343996364;1.063746877;-5.197333954;mal
-0.483739323;-0.451519412;0.435929839;-0.329770807;1.151793046;-4.985591174;mal
-0.057734221;-0.356519135;0.496100555;-0.746201824;1.28395862;-4.741994798;mal
0.442191459;-0.169325624;0.578185857;-0.109578735;1.288259402;-4.252289716;mal
0.959044093;0.051313699;0.679346755;0.013196403;1.413569601;-4.119896471;mal
1.46675807;0.324403993;0.768042818;-0.316086726;1.483033978;-4.272818708;mal
2.058923184;0.574418192;0.81851442;-0.078178316;1.552217151;-4.302677042;mal
2.583288519;0.773309151;0.817655186;-0.016867314;1.482149276;-4.2770469;mal
2.858975763;0.84924315;0.776912812;-0.349708833;1.288901178;-4.120519539;mal
2.866897005;0.801809096;0.714867166;-0.324160708;1.276097907;-3.878738014;mal
2.694348918;0.712263894;0.623111037;-0.32476897;1.3630923;-3.662779328;mal
2.422378536;0.658912091;0.436850804;-0.779976231;1.353739585;-3.594196923;mal
