elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
2.38;-1.031;0.086;-0.225;0.259;0.755;0.191
2.39;-1.03;0.084;-0.226;0.114;0.838;0.198
2.4;-1.03;0.083;-0.224;0.221;0.724;-0.008
2.41;-1.031;0.085;-0.228;0.213;0.617;-0.13
2.42;-1.032;0.083;-0.23;-0.038;0.625;-0.107
2.43;-1.031;0.081;-0.228;-0.061;0.579;-0.015
2.44;-1.033;0.083;-0.226;-0.145;0.564;0.03
2.45;-1.031;0.083;-0.228;-0.343;0.633;0.13
2.46;-1.029;0.083;-0.227;-0.312;0.633;0.023
2.47;-1.029;0.081;-0.228;-0.091;0.671;0.046
2.48;-1.031;0.081;-0.225;0.122;0.777;0.091
2.49;-1.033;0.078;-0.224;0.404;0.838;0.107
2.5;-1.033;0.081;-0.228;0.518;0.785;0.213
2.51;-1.033;0.079;-0.228;0.61;0.587;0.221
2.52;-1.03;0.081;-0.227;0.762;0.48;0.198
2.53;-1.029;0.082;-0.228;1.143;0.389;0.198
2.54;-1.031;0.081;-0.23;1.204;0.305;0.381
2.55;-1.03;0.083;-0.229;0.785;0.061;0.358
2.56;-1.032;0.083;-0.229;0.16;0.053;0.343
2.57;-1.033;0.082;-0.224;-0.221;0.252;0.389
2.58;-1.029;0.088;-0.22;-0.625;0.488;0.343
2.59;-1.027;0.09;-0.221;-0.991;0.8;0.335
2.6;-1.028;0.091;-0.227;-1.151;0.93;0.221
2.61;-1.031;0.085;-0.226;-1.296;0.854;0.145
2.62;-1.034;0.084;-0.231;-1.669;0.77;0.076
2.63;-1.037;0.081;-0.231;-1.867;0.526;0.084
2.64;-1.031;0.076;-0.232;-1.608;0.389;0.122
2.65;-1.029;0.074;-0.23;-0.96;0.434;0.076
2.66;-1.028;0.08;-0.229;-0.541;0.473;0.038
2.67;-1.03;0.078;-0.227;-0.381;0.587;0.107
2.68;-1.031;0.079;-0.229;-0.213;0.549;0.191
2.69;-1.031;0.079;-0.225;0.069;0.663;0.252
2.7;-1.032;0.079;-0.226;0.503;0.64;0.328
2.71;-1.031;0.08;-0.226;0.915;0.617;0.366
2.72;-1.032;0.083;-0.228;1.113;0.648;0.396
2.73;-1.031;0.083;-0.23;1.235;0.663;0.396
2.74;-1.032;0.085;-0.233;1.166;0.777;0.358
2.75;-1.026;0.084;-0.233;0.8;0.785;0.366
2.76;-1.028;0.089;-0.232;0.412;0.602;0.252
2.77;-1.03;0.089;-0.229;0.297;0.579;0.03
2.78;-1.029;0.086;-0.228;-0.053;0.572;-0.046
2.79;-1.03;0.087;-0.228;-0.404;0.739;-0.069
2.8;-1.029;0.086;-0.226;-0.48;0.869;-0.091
2.81;-1.033;0.087;-0.227;-0.48;0.816;0.053
2.82;-1.034;0.085;-0.23;-0.541;0.694;0.198
2.83;-1.033;0.085;-0.226;-0.739;0.64;0.099
2.84;-1.03;0.084;-0.227;-0.838;0.61;0.099
2.85;-1.032;0.085;-0.23;-0.602;0.488;0.252
2.86;-1.03;0.084;-0.229;-0.404;0.518;0.175
2.87;-1.029;0.082;-0.228;-0.412;0.694;0.046
2.88;-1.031;0.083;-0.231;-0.48;0.762;0.152
2.89;-1.03;0.082;-0.231;-0.419;0.816;0.099
2.9;-1.031;0.082;-0.23;-0.404;0.709;0.137
2.91;-1.032;0.084;-0.229;-0.244;0.434;0.122
2.92;-1.031;0.082;-0.23;0.061;0.229;0.091
2.93;-1.033;0.084;-0.229;0.267;0.076;0.015
2.94;-1.029;0.085;-0.228;0.343;0.145;0.16
2.95;-1.029;0.085;-0.23;0.572;0.107;0.137
2.96;-1.03;0.085;-0.23;0.526;0.099;0.236
2.97;-1.028;0.083;-0.232;0.343;0.396;0.229
2.98;-1.027;0.082;-0.236;0.373;0.655;0.191
2.99;-1.029;0.082;-0.236;0.793;0.511;0.305
3;-1.029;0.081;-0.236;1.303;0.259;0.328
3.01;-1.028;0.081;-0.238;1.09;-0.084;0.229
3.02;-1.032;0.084;-0.231;0.442;-0.137;0.236
3.03;-1.032;0.089;-0.228;0.122;-0.008;0.198
3.04;-1.03;0.089;-0.228;0.328;-0.099;0.069
3.05;-1.03;0.088;-0.23;0.572;-0.206;-0.015
3.06;-1.028;0.085;-0.23;0.442;0.008;0.015
3.07;-1.031;0.082;-0.232;0.191;0.191;0.122
3.08;-1.03;0.084;-0.227;0.023;0.312;0.252
3.09;-1.029;0.085;-0.229;-0.053;0.495;0.145
3.1;-1.027;0.084;-0.231;0;0.526;0.023
3.11;-1.028;0.083;-0.228;-0.015;0.404;0.084
3.12;-1.031;0.083;-0.228;-0.145;0.48;0.13
3.13;-1.032;0.084;-0.231;-0.274;0.534;0.13
3.14;-1.03;0.086;-0.231;-0.122;0.655;0.213
3.15;-1.032;0.085;-0.231;0.046;0.625;0.244
3.16;-1.031;0.085;-0.232;0.107;0.442;0.053
3.17;-1.029;0.085;-0.233;-0.13;0.328;-0.145
3.18;-1.028;0.084;-0.233;-0.29;0.404;-0.145
3.19;-1.029;0.084;-0.231;-0.145;0.32;-0.015
3.2;-1.03;0.085;-0.234;-0.335;0.213;0.099
3.21;-1.033;0.084;-0.234;-0.252;0.191;0.206
3.22;-1.029;0.082;-0.228;-0.069;0.114;0.206
3.23;-1.027;0.082;-0.229;0.015;0.122;0.145
3.24;-1.029;0.084;-0.229;0.023;0.221;0.13
3.25;-1.031;0.087;-0.23;0.038;0.328;0.099
3.26;-1.031;0.085;-0.231;-0.046;0.617;0.114
3.27;-1.027;0.085;-0.23;-0.008;0.793;0.236
3.28;-1.027;0.085;-0.231;0.168;0.793;0.191
3.29;-1.026;0.084;-0.231;0.335;0.747;0.175
3.3;-1.031;0.087;-0.232;0.351;0.595;0.221
3.31;-1.034;0.089;-0.233;0.229;0.381;0.252
3.32;-1.03;0.086;-0.227;0.252;0.389;0.191
3.33;-1.026;0.085;-0.226;0.046;0.511;0
3.34;-1.029;0.085;-0.229;-0.175;0.671;-0.221
3.35;-1.03;0.086;-0.228;-0.45;0.701;-0.122
3.36;-1.029;0.084;-0.229;-0.556;0.556;-0.069
3.37;-1.032;0.079;-0.23;-0.312;0.473;-0.069
3.38;-1.033;0.08;-0.23;-0.107;0.312;0
3.39;-1.029;0.085;-0.229;0.13;0.107;0.069
3.4;-1.029;0.083;-0.227;0.389;0.274;0.023
3.41;-1.03;0.083;-0.23;0.495;0.358;0.13
3.42;-1.029;0.085;-0.235;0.503;0.419;0.252
3.43;-1.028;0.087;-0.235;0.602;0.45;0.206
3.44;-1.028;0.084;-0.236;0.808;0.404;0.091
3.45;-1.028;0.083;-0.237;1.006;0.381;0.107
3.46;-1.025;0.084;-0.233;0.884;0.465;0.015
3.47;-1.028;0.085;-0.234;0.602;0.572;-0.069
3.48;-1.032;0.086;-0.235;0.259;0.419;0.015
3.49;-1.031;0.089;-0.233;0.076;0.221;0.107
3.5;-1.029;0.086;-0.236;0.107;0.137;0.122
3.51;-1.031;0.085;-0.231;0.03;0.152;0.023
3.52;-1.032;0.087;-0.227;-0.145;0.145;-0.038
3.53;-1.031;0.087;-0.228;-0.252;0.221;-0.023
3.54;-1.03;0.086;-0.234;-0.267;0.358;0.091
3.55;-1.025;0.085;-0.232;-0.259;0.427;0.069
3.56;-1.025;0.083;-0.229;-0.061;0.602;0.091
3.57;-1.031;0.085;-0.231;0.015;0.572;0.03
3.58;-1.032;0.084;-0.232;0.229;0.534;0.099
3.59;-1.028;0.084;-0.231;0.366;0.595;0.038
3.6;-1.03;0.086;-0.234;0.45;0.381;-0.023
3.61;-1.032;0.084;-0.232;0.503;0.198;-0.084
3.62;-1.029;0.085;-0.232;0.373;0.114;-0.061
3.63;-1.031;0.083;-0.231;0.213;-0.038;0.061
3.64;-1.031;0.081;-0.231;0.297;0.023;0.107
3.65;-1.029;0.082;-0.229;0.396;0.053;0.114
3.66;-1.029;0.088;-0.231;0.351;0.099;0.175
3.67;-1.028;0.089;-0.237;0.137;0.114;0.107
3.68;-1.028;0.088;-0.236;0.114;0.091;0.084
3.69;-1.027;0.084;-0.235;0.236;0.13;0.069
3.7;-1.029;0.084;-0.234;0.526;0.069;0.038
3.71;-1.028;0.083;-0.233;0.785;0.061;-0.023
3.72;-1.029;0.083;-0.229;0.861;0.107;-0.084
3.73;-1.028;0.083;-0.231;0.617;0.107;-0.099
3.74;-1.03;0.083;-0.233;0.343;0.168;-0.076
3.75;-1.03;0.084;-0.233;0.252;0.305;0.023
3.76;-1.029;0.085;-0.231;0.053;0.305;0.038
3.77;-1.028;0.086;-0.232;0.099;0.236;0.145
3.78;-1.03;0.088;-0.234;0.175;0.145;0.152
3.79;-1.029;0.086;-0.234;0.229;0.114;0.015
3.8;-1.031;0.084;-0.234;0.396;0.198;0
3.81;-1.029;0.087;-0.237;0.465;0.244;0.038
3.82;-1.027;0.085;-0.233;0.267;0.297;0.13
3.83;-1.028;0.084;-0.229;0.191;0.389;0.008
3.84;-1.028;0.084;-0.231;0.358;0.244;-0.008
3.85;-1.029;0.081;-0.235;0.579;0.191;-0.03
3.86;-1.027;0.084;-0.234;0.556;0.114;-0.069
3.87;-1.029;0.084;-0.235;0.305;-0.091;0.038
3.88;-1.028;0.086;-0.233;0.038;-0.023;0.069
3.89;-1.03;0.085;-0.231;-0.069;0.175;0.046
3.9;-1.026;0.086;-0.23;0.091;0.175;0.084
3.91;-1.029;0.087;-0.232;0.015;0.114;-0.03
3.92;-1.03;0.086;-0.23;0.046;0.107;-0.069
3.93;-1.031;0.084;-0.231;0.008;0.13;-0.015
3.94;-1.03;0.085;-0.23;0.221;0.061;-0.038
3.95;-1.029;0.083;-0.23;0.534;-0.008;-0.091
3.96;-1.026;0.082;-0.231;0.579;0.03;-0.038
3.97;-1.027;0.082;-0.23;0.427;0.084;-0.053
3.98;-1.03;0.084;-0.229;0.419;0.16;0.008
3.99;-1.032;0.084;-0.23;0.556;0.168;0.122
4;-1.032;0.084;-0.234;0.473;0.206;0.061
4.01;-1.03;0.085;-0.233;0.328;0.122;0
4.02;-1.027;0.084;-0.231;0.221;0.107;0.053
4.03;-1.025;0.085;-0.232;0.061;0.122;0.069
4.04;-1.026;0.087;-0.234;0.008;0.122;-0.023
4.05;-1.032;0.086;-0.235;0.252;0.107;-0.061
4.06;-1.031;0.084;-0.237;0.312;0;-0.107
4.07;-1.031;0.082;-0.232;0.434;-0.152;0.03
4.08;-1.029;0.084;-0.233;0.495;-0.191;0.015
4.09;-1.025;0.085;-0.232;0.579;-0.03;-0.114
4.1;-1.028;0.085;-0.235;0.465;0.076;-0.122
4.11;-1.028;0.083;-0.236;0.503;0.091;-0.061
4.12;-1.029;0.084;-0.234;0.465;0.069;-0.046
4.13;-1.029;0.083;-0.232;0.434;0.053;-0.084
4.14;-1.027;0.083;-0.231;0.29;-0.038;-0.076
4.15;-1.029;0.085;-0.232;0.236;-0.053;-0.229
4.16;-1.03;0.085;-0.233;0.343;-0.023;-0.145
4.17;-1.031;0.086;-0.23;0.274;-0.015;-0.023
4.18;-1.031;0.087;-0.229;0.168;-0.038;-0.091
4.19;-1.03;0.085;-0.23;0.183;-0.015;-0.076
4.2;-1.026;0.084;-0.228;0.48;0.122;-0.13
4.21;-1.026;0.083;-0.226;0.732;0.236;-0.198
4.22;-1.028;0.084;-0.227;0.907;0.29;-0.351
4.23;-1.033;0.083;-0.228;0.93;0.168;-0.29
4.24;-1.034;0.083;-0.231;0.816;-0.023;-0.244
4.25;-1.033;0.08;-0.228;0.724;0;-0.122
4.26;-1.027;0.079;-0.229;0.724;0.076;-0.015
