elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
2.19;-0.983;0.163;-0.183;9.954;52.256;-16.273
2.2;-0.987;0.156;-0.194;6.494;54.581;-16.997
2.21;-1.002;0.154;-0.202;4.093;57.264;-18.133
2.22;-1.023;0.144;-0.192;3.155;58.095;-19.375
2.23;-1.03;0.139;-0.166;2.98;57.012;-19.489
2.24;-1.024;0.134;-0.139;3.735;56.578;-19.261
2.25;-1.014;0.115;-0.121;5.823;57.409;-20.29
2.26;-1.017;0.097;-0.106;9.116;58.986;-22.058
2.27;-1.04;0.075;-0.089;12.127;60.907;-24.284
2.28;-1.077;0.051;-0.073;14.924;61.288;-26.395
2.29;-1.101;0.048;-0.073;17.439;59.444;-27.447
2.3;-1.107;0.064;-0.071;19.299;57.576;-27.607
2.31;-1.098;0.09;-0.07;21.227;55.724;-27.264
2.32;-1.066;0.128;-0.082;23.971;53.476;-27.409
2.33;-1.065;0.171;-0.093;26.57;52.401;-28.201
2.34;-1.078;0.171;-0.107;28.46;50.915;-29.23
2.35;-1.071;0.162;-0.124;30.877;47.599;-30.473
2.36;-1.075;0.182;-0.134;33.521;44.947;-31.41
2.37;-1.098;0.199;-0.135;35.183;43.361;-32.058
2.38;-1.109;0.21;-0.138;36.037;40.899;-32.477
2.39;-1.103;0.223;-0.131;36.075;37.02;-32.53
2.4;-1.103;0.269;-0.127;35.8;33.14;-32.957
2.41;-1.141;0.383;-0.133;35.77;29.657;-34.284
2.42;-1.296;0.49;-0.082;35.267;28.498;-34.322
2.43;-1.458;0.47;0.058;31.418;22.828;-31.677
2.44;-1.417;0.354;0.237;23.849;7.172;-28.262
2.45;-1.291;0.28;0.395;19.688;-9.284;-25.122
2.46;-1.286;0.244;0.515;26.616;-19.062;-24.367
2.47;-1.367;0.256;0.691;46.166;-30.777;-24.078
2.48;-1.482;0.407;0.988;74.04;-60.061;-20.45
2.49;-1.022;0.525;1.195;77.119;-124.268;-29.108
2.5;-0.288;-0.121;0.851;73.727;-65.152;-87.515
2.51;-1.782;-0.1;-0.413;69.428;115.663;-49.527
2.52;-1.722;0.325;-0.177;78.857;-27.691;-20.45
2.53;-1.259;0.291;-0.007;73.491;-59.505;-16.913
2.54;-1.483;0.252;-0.332;70.03;-23.941;-12.027
2.55;-1.546;0.144;-0.507;69.024;-36.898;-8.864
2.56;-1.476;0.077;-0.505;62.005;-55.404;-2.02
2.57;-1.411;0.073;-0.456;45.168;-66.509;4.352
2.58;-1.33;-0.004;-0.358;18.034;-69.886;11.136
2.59;-1.314;-0.117;-0.374;-4.268;-62.927;20.198
2.6;-1.369;-0.178;-0.51;-9.482;-54.809;26.38
2.61;-1.468;-0.107;-0.597;-1.7;-53.247;29.901
2.62;-1.49;-0.042;-0.641;0.953;-60.549;33.902
2.63;-1.367;-0.02;-0.577;-7.873;-73.3;41.982
2.64;-1.286;-0.024;-0.535;-22.363;-77.294;49.947
2.65;-1.272;-0.075;-0.539;-37.721;-77.226;57.21
2.66;-1.246;-0.151;-0.552;-50.549;-79.588;64.665
2.67;-1.198;-0.23;-0.563;-58.361;-84.23;71.006
2.68;-1.157;-0.275;-0.585;-60.61;-89.657;76.052
2.69;-1.133;-0.277;-0.625;-59.078;-95.389;79.428
2.7;-1.113;-0.274;-0.669;-55.945;-102.912;80.389
2.71;-1.074;-0.273;-0.686;-54.726;-110.762;80.716
2.72;-1.033;-0.292;-0.711;-55.488;-116.143;81.059
2.73;-0.995;-0.326;-0.724;-56.715;-121.326;81.12
2.74;-0.944;-0.361;-0.721;-57.561;-126.944;81.197
2.75;-0.882;-0.395;-0.72;-55.175;-132.34;80.762
2.76;-0.857;-0.415;-0.734;-49.23;-137.622;78.902
2.77;-0.819;-0.404;-0.745;-41.723;-144.832;76.684
2.78;-0.788;-0.388;-0.766;-35.381;-150.023;74.916
2.79;-0.754;-0.382;-0.751;-30.701;-152.454;74.192
2.8;-0.765;-0.345;-0.731;-27.82;-150.518;76.555
2.81;-0.756;-0.32;-0.668;-29.741;-151.555;80.686
2.82;-0.711;-0.341;-0.554;-36.532;-152.088;85.213
2.83;-0.567;-0.337;-0.388;-43.72;-147.866;89.505
2.84;-0.606;-0.29;-0.333;-46.479;-125.236;89.497
2.85;-0.831;-0.259;-0.353;-55.259;-109.588;88.095
2.86;-1.012;-0.231;-0.357;-67.355;-121.25;88.247
2.87;-1.03;-0.188;-0.252;-75.877;-147.454;89.97
2.88;-0.901;-0.019;0.013;-76.159;-161.098;95.785
2.89;-0.713;0.259;0.35;-73.056;-154.108;106.585
2.9;-0.444;0.52;0.692;-87.515;-138.666;111.898
2.91;-0.073;0.768;1.313;-112.195;-129.916;101.547
2.92;0.282;0.722;1.791;-128.956;-103.361;69.184
2.93;-0.173;0.461;1.964;-94.04;-17.027;19.291
2.94;-0.772;0.109;1.915;-36.25;32.904;-23.819
2.95;-0.84;-0.104;1.407;3.46;37.843;-44.322
2.96;-0.631;-0.11;0.659;21.479;47.683;-47.988
2.97;-0.548;0.012;0.111;44.505;70.823;-47.942
2.98;-0.556;0.165;-0.182;63.659;84.55;-43.872
2.99;-0.394;0.347;-0.121;56.875;88.559;-40.785
3;-0.218;0.38;-0.173;2.843;148.407;-73.506
3.01;-1.318;-0.56;-1.844;-50.877;249.466;-81.136
3.02;-3.902;0.411;-1.218;89.809;216.7;5.755
3.03;-3.598;0.628;0.424;47.873;-1.28;-19.596
3.04;-1.423;0.67;1.537;-6.57;-156.974;11.509
3.05;0.166;-0.202;1.215;-100.084;-93.758;7.889
3.06;-0.181;-0.475;0.327;-89.146;113.826;27.294
3.07;-1.071;-0.345;-0.507;-43.62;200.122;15.457
3.08;-0.984;-0.527;-0.747;8.277;107.53;-42.912
3.09;-0.979;-0.43;-0.667;57.233;68.963;-59.489
3.1;-1.161;-0.052;-0.643;80.8;71.166;-46.806
3.11;-1.286;0.497;-0.669;99.825;73.529;-29.825
3.12;-1.319;0.703;-0.698;79.809;72.401;-16.12
3.13;-1.072;0.409;-0.518;30.648;61.829;-16.105
3.14;-0.869;0.061;-0.358;-0.724;68.697;-21.387
3.15;-0.921;-0.112;-0.339;-4.573;87.607;-29.177
3.16;-1.161;-0.054;-0.354;5.114;96.387;-35.297
3.17;-1.297;0.055;-0.318;8.758;88.887;-37.995
3.18;-1.235;0.074;-0.207;3.575;77.134;-36.364
3.19;-1.12;0.078;-0.13;-0.107;73.064;-31.646
3.2;-1.047;0.123;-0.126;-1.105;74.878;-26.684
3.21;-1.028;0.169;-0.133;-2.5;77.05;-23.78
3.22;-1.037;0.2;-0.131;-2.431;77.904;-22.752
3.23;-1.069;0.236;-0.113;-0.846;79.771;-22.386
3.24;-1.066;0.255;-0.052;-3.491;79.2;-23.102
3.25;-1.013;0.212;-0.005;-8.811;78.049;-25.252
