elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
2.17;-0.873;0.199;-0.084;72.828;65.488;40.755
2.18;-0.848;0.253;-0.117;65.793;83.872;38.872
2.19;-0.941;0.295;-0.168;51.364;97.088;36.364
2.2;-1.047;0.306;-0.198;35.526;99.863;36.593
2.21;-1.097;0.329;-0.183;21.334;95.747;40.465
2.22;-1.075;0.347;-0.135;13.788;91.677;43.544
2.23;-1.009;0.308;-0.098;18.887;89.611;43.445
2.24;-0.922;0.241;-0.115;33.811;90.678;40.427
2.25;-0.885;0.213;-0.166;48.399;92.47;35.633
2.26;-0.908;0.223;-0.223;55.404;92.515;30.762
2.27;-0.969;0.262;-0.25;49.954;90.274;27.37
2.28;-1.021;0.321;-0.258;35.023;87.172;25.503
2.29;-1.037;0.371;-0.243;16.959;84.901;24.169
2.3;-1.042;0.393;-0.204;0.869;83.277;22.729
2.31;-1.047;0.362;-0.155;-9.078;81.319;21.479
2.32;-1.05;0.297;-0.117;-11.029;78.864;20.739
2.33;-1.048;0.235;-0.082;-6.159;76.334;20.694
2.34;-1.047;0.187;-0.032;2.248;74.322;21.509
2.35;-1.065;0.154;0.019;11.029;72.614;22.82
2.36;-1.091;0.136;0.07;18.422;71.197;24.146
2.37;-1.101;0.124;0.102;23.765;69.405;25.16
2.38;-1.09;0.115;0.103;26.631;66.547;26.639
2.39;-1.07;0.131;0.083;27.5;63.765;28.643
2.4;-1.033;0.164;0.045;28.476;63.75;29.581
2.41;-1.01;0.196;-0.011;31.494;66.28;29.543
2.42;-1.026;0.227;-0.084;34.596;68.255;29.375
2.43;-1.041;0.248;-0.145;37.675;68.369;28.529
2.44;-1.054;0.244;-0.188;40.229;65.625;27.462
2.45;-1.065;0.255;-0.2;37.416;60.541;26.989
2.46;-1.059;0.27;-0.168;32.569;55.198;26.372
2.47;-1.044;0.267;-0.127;29.451;52.188;25.221
2.48;-1.047;0.252;-0.094;27.241;51.151;23.887
2.49;-1.077;0.222;-0.086;26.067;49.741;23.079
2.5;-1.094;0.183;-0.079;28.338;47.203;23.902
2.51;-1.054;0.156;-0.073;32.111;46.662;26.059
2.52;-0.999;0.167;-0.073;34.535;49.07;28.422
2.53;-0.976;0.189;-0.092;37.012;53.91;29.848
2.54;-1.042;0.208;-0.137;39.649;57.691;30.046
2.55;-1.137;0.211;-0.201;44.931;56.273;29.024
2.56;-1.146;0.212;-0.224;49.764;52.561;27.698
2.57;-1.127;0.242;-0.202;50.831;48.765;25.877
2.58;-1.125;0.276;-0.153;48.918;43.834;22.721
2.59;-1.133;0.277;-0.122;45.732;37.492;19.558
2.6;-1.135;0.261;-0.099;45.259;29.832;17.454
2.61;-1.154;0.274;-0.053;46.684;20.976;16.753
2.62;-1.224;0.375;0.005;43.056;11.059;17.553
2.63;-1.377;0.479;0.054;37.294;-1.502;15.061
2.64;-1.559;0.436;0.087;32.599;-22.05;3.902
2.65;-1.642;0.248;0.177;23.384;-50.518;-15.061
2.66;-1.496;-0.022;0.321;5.343;-62.927;-37.988
2.67;-1.211;-0.469;0.354;-4.253;-51.54;-46.974
2.68;-1.081;-0.865;0.278;18.178;-37.721;-35.922
2.69;-1.046;-0.887;0.184;62.599;-28.041;-29.512
2.7;-1.184;-0.758;0.063;120.747;-44.093;-29.505
2.71;-1.176;-0.488;0.102;166.242;-59.268;-22.797
2.72;-0.99;-0.219;0.079;199.619;-50.861;-14.215
2.73;-0.94;0.028;-0.119;204.68;-30.709;-6.684
2.74;-1.268;0.267;-0.406;177.05;-32.744;1.25
2.75;-1.609;0.529;-0.636;129.642;-53.117;5.351
2.76;-1.626;0.719;-0.74;77.995;-70.892;1.189
2.77;-1.481;0.724;-0.695;38.537;-80.655;-5.633
2.78;-1.339;0.641;-0.629;14.573;-84.992;-11.029
2.79;-1.27;0.585;-0.575;-1.288;-89.741;-14.893
2.8;-1.244;0.524;-0.539;-15.259;-92.325;-16.547
2.81;-1.247;0.441;-0.555;-29.238;-94.223;-15.915
2.82;-1.285;0.38;-0.591;-39.985;-100.32;-15.785
2.83;-1.286;0.331;-0.644;-43.034;-108.247;-16.448
2.84;-1.255;0.358;-0.669;-47.294;-117.325;-15.625
2.85;-1.187;0.394;-0.686;-56.334;-124.779;-13.811
2.86;-1.1;0.385;-0.693;-65.518;-127.523;-12.553
2.87;-1.067;0.408;-0.707;-79.017;-129.253;-14.52
2.88;-1.068;0.404;-0.717;-90.404;-132.134;-18.659
2.89;-1.055;0.317;-0.716;-90.587;-134.939;-21.418
2.9;-1.007;0.229;-0.701;-82.622;-136.585;-22.523
2.91;-0.953;0.192;-0.685;-73.872;-137.668;-23.384
2.92;-0.918;0.22;-0.668;-71.143;-138.59;-24.878
2.93;-0.862;0.233;-0.637;-71.227;-137.515;-26.723
2.94;-0.802;0.237;-0.584;-73.72;-133.087;-28.651
2.95;-0.769;0.259;-0.547;-78.072;-127.523;-31.075
2.96;-0.75;0.255;-0.527;-81.235;-122.591;-34.002
2.97;-0.729;0.208;-0.53;-83.483;-118.369;-36.646
2.98;-0.707;0.148;-0.526;-83.811;-115.015;-38.277
2.99;-0.685;0.093;-0.498;-78.034;-112.073;-38.925
3;-0.662;0.07;-0.464;-70.16;-108.803;-39.832
3.01;-0.634;0.061;-0.423;-64.466;-104.07;-41.433
3.02;-0.605;0.018;-0.405;-54.085;-97.271;-43.666
3.03;-0.597;-0.021;-0.393;-43.59;-90.488;-44.398
3.04;-0.579;-0.018;-0.328;-42.294;-83.491;-41.273
3.05;-0.565;-0.006;-0.265;-43.59;-75.816;-36.357
3.06;-0.589;0.049;-0.256;-45.434;-69.688;-32.378
3.07;-0.624;0.126;-0.238;-46.136;-67.485;-29.512
3.08;-0.701;0.182;-0.213;-44.009;-67.805;-27.073
3.09;-0.802;0.218;-0.152;-42.797;-68.651;-26.349
3.1;-0.973;0.234;-0.063;-37.127;-75.206;-31.029
3.11;-1.114;0.149;0.11;-26.387;-85.587;-38.948
3.12;-1.132;-0.04;0.334;-16.715;-90.404;-41.814
3.13;-1.049;-0.235;0.584;-13.659;-83.521;-36.905
3.14;-0.975;-0.412;0.881;-17.104;-70.587;-26.052
3.15;-0.859;-0.536;1.177;-17.5;-45.518;-10.724
3.16;-0.784;-0.545;1.319;-5.252;-9.764;1.791
3.17;-0.893;-0.436;1.277;16.944;13.636;8.62
3.18;-1.046;-0.287;1.087;34.588;21.692;16.814
